,TIME,DATA_VALUE
0,202111,101.3
1,202112,101.2
2,202201,101.2
3,202202,100.9
4,202203,100.7
5,202204,100.5
6,202205,100.6
7,202206,100.7
8,202207,100.4
9,202208,100.3
10,202209,100.3
11,202210,100.3
12,202211,100.1
13,202212,99.6
14,202301,99.3
15,202302,99
16,202303,98.8
17,202304,98.6
18,202305,98.7
19,202306,99.1
20,202307,99.4
21,202308,99.4
22,202309,99.6
23,202310,99.8
24,202311,100.1
25,202312,100.2
26,202401,100.2
27,202402,100.4
28,202403,100.2
29,202404,100.5
30,202405,100.5
31,202406,100.7
32,202407,100.7
33,202408,100.6
34,202409,100.6
